                 X [m]	                 Y [m]	c [MN/m³]
9.66	51.0973057	2.574141309
9.66	51.0973057	2.574141309
9.66	51.0973057	2.574141309
9.66	51.0973057	2.574141309
9.66	51.0973057	2.574141309
9.66	51.0973057	2.574141309
17.5	-10	-0.175073374
17.5	-10	-0.175073374
7.73	-2.79	0.248162839
7.73	4	9.006123992
7.73	4	9.006123992
7.73	4	9.006123992
7.73	4	9.006123992
-0.75	4	-28.13382171
-0.75	4	-28.13382171
-0.75	59.21	7.152432989
-0.75	59.21	7.152432989
3.83	59.21	0.542340531
3.83	59.21	0.542340531
3.83	59.21	0.542340531
25.65	37.44	1.147535679
25.65	37.44	1.147535679
25.65	37.44	1.147535679
26.78	36.3	1.195114722
26.78	36.3	1.195114722
26.78	36.3	1.195114722
42	21	0.625409459
42	21	0.625409459
42	21	0.625409459
42	21	0.625409459
49.25	20.4	0.829994385
49.25	20.4	0.829994385
49.25	20.4	0.829994385
50.4	20.34	0.651266678
50.4	20.34	0.651266678
50.4	20.34	0.651266678
62.92	19.46	0.353440453
62.92	19.46	0.353440453
62.92	19.46	0.353440453
63.1	19.45	0.376893403
63.1	19.45	0.376893403
63.1	19.45	0.376893403
77.75	18.71	0.59952494
77.75	18.71	0.59952494
77.75	18.71	0.59952494
90.88	18.05	0.921162999
90.88	18.05	0.921162999
90.88	18.05	0.921162999
113.76	16.9	0.420312284
113.76	16.9	0.420312284
113.76	-8.74	0.444191647
113.76	-8.74	0.444191647
58.7	-8.74	1.283797978
58.7	-8.74	1.283797978
58.7	-8.74	1.283797978
58.7	-8.74	1.283797978
58.7	-10	-1.078176567
58.7	-10	-1.078176567
77.95	18.7	0.611579554
77.95	18.7	0.611579554
77.95	18.7	0.611579554
101.66	17.51	0.830563074
101.66	17.51	0.830563074
101.66	17.51	0.830563074
8.34	-2.79	0.428330005
8.34	-2.79	0.428330005
8.34	-2.79	0.428330005
8.34	-2.79	0.428330005
8.34	4.41	8.012426451
8.34	4.41	8.012426451
